research_area,total_proposals,total_requested_funding,total_awarded_funding,awarded_proposals,decided_proposals,pending_proposals,average_decision_time_days,active_principal_investigators,proposal_success_rate,average_award_amount
Data Science,478,291487000.0,81614917.71,185,406,54,163.93,163,45.57,441161.72
Environmental Science,250,140409000.0,37029052.56,99,213,28,170.46,95,46.48,374030.83
Social and Behavioral Science,193,112374000.0,36973292.41,78,166,24,168.48,66,46.99,474016.57
Neuroscience,204,118162000.0,36028743.0,92,180,20,167.86,77,51.11,391616.77
Biomedical Research,205,103492000.0,35466220.34,85,171,26,154.77,77,49.71,417249.65
Renewable Energy,172,112792000.0,31034041.45,58,149,16,165.68,64,38.93,535069.68
Public Health,117,78559000.0,19856106.62,37,95,15,159.53,41,38.95,536651.53
Advanced Manufacturing,97,47844000.0,17573207.75,44,80,12,153.48,40,55.0,399391.09
Education,69,40810000.0,17059162.2,35,62,6,171.92,16,56.45,487404.63
Artificial Intelligence,100,55095000.0,14456822.29,32,81,14,163.37,38,39.51,451775.7
Agriculture,75,36356000.0,10105383.65,32,64,7,162.77,23,50.0,315793.24
Business and Economics,40,20107000.0,8973250.17,21,36,2,176.06,10,58.33,427297.63
