comparison,key,metric,python_value,sql_value,difference,status
Executive KPIs,All Records,total_proposals,2000.0,2000.0,0.0,PASS
Executive KPIs,All Records,total_requested_funding,1157487000.0,1157487000.0,0.0,PASS
Executive KPIs,All Records,total_awarded_funding,346170200.15,346170200.15,0.0,PASS
Executive KPIs,All Records,awarded_proposal_count,798.0,798.0,0.0,PASS
Executive KPIs,All Records,decided_proposal_count,1703.0,1703.0,0.0,PASS
Executive KPIs,All Records,pending_proposal_count,224.0,224.0,0.0,PASS
Executive KPIs,All Records,withdrawn_proposal_count,73.0,73.0,0.0,PASS
Executive KPIs,All Records,proposal_success_rate,46.86,46.86,0.0,PASS
Executive KPIs,All Records,average_award_amount,433797.24,433797.24,0.0,PASS
Executive KPIs,All Records,average_decision_time,164.58,164.58,0.0,PASS
Executive KPIs,All Records,active_principal_investigators,180.0,180.0,0.0,PASS
Fiscal Year Summary,2022,total_proposals,492.0,492.0,0.0,PASS
Fiscal Year Summary,2022,total_requested_funding,286340000.0,286340000.0,0.0,PASS
Fiscal Year Summary,2022,total_awarded_funding,85062470.88,85062470.88,0.0,PASS
Fiscal Year Summary,2022,awarded_proposals,200.0,200.0,0.0,PASS
Fiscal Year Summary,2022,decided_proposals,425.0,425.0,0.0,PASS
Fiscal Year Summary,2022,pending_proposals,53.0,53.0,0.0,PASS
Fiscal Year Summary,2022,average_decision_time_days,163.62,163.62,0.0,PASS
Fiscal Year Summary,2022,active_principal_investigators,163.0,163.0,0.0,PASS
Fiscal Year Summary,2022,proposal_success_rate,47.06,47.06,0.0,PASS
Fiscal Year Summary,2022,average_award_amount,425312.35,425312.35,0.0,PASS
Fiscal Year Summary,2023,total_proposals,465.0,465.0,0.0,PASS
Fiscal Year Summary,2023,total_requested_funding,269658000.0,269658000.0,0.0,PASS
Fiscal Year Summary,2023,total_awarded_funding,76128788.48,76128788.48,0.0,PASS
Fiscal Year Summary,2023,awarded_proposals,170.0,170.0,0.0,PASS
Fiscal Year Summary,2023,decided_proposals,393.0,393.0,0.0,PASS
Fiscal Year Summary,2023,pending_proposals,57.0,57.0,0.0,PASS
Fiscal Year Summary,2023,average_decision_time_days,170.79,170.79,0.0,PASS
Fiscal Year Summary,2023,active_principal_investigators,165.0,165.0,0.0,PASS
Fiscal Year Summary,2023,proposal_success_rate,43.26,43.26,0.0,PASS
Fiscal Year Summary,2023,average_award_amount,447816.4,447816.4,0.0,PASS
Fiscal Year Summary,2024,total_proposals,477.0,477.0,0.0,PASS
Fiscal Year Summary,2024,total_requested_funding,264474000.0,264474000.0,0.0,PASS
Fiscal Year Summary,2024,total_awarded_funding,80382964.84,80382964.84,0.0,PASS
Fiscal Year Summary,2024,awarded_proposals,193.0,193.0,0.0,PASS
Fiscal Year Summary,2024,decided_proposals,408.0,408.0,0.0,PASS
Fiscal Year Summary,2024,pending_proposals,52.0,52.0,0.0,PASS
Fiscal Year Summary,2024,average_decision_time_days,165.61,165.61,0.0,PASS
Fiscal Year Summary,2024,active_principal_investigators,170.0,170.0,0.0,PASS
Fiscal Year Summary,2024,proposal_success_rate,47.3,47.3,0.0,PASS
Fiscal Year Summary,2024,average_award_amount,416492.05,416492.05,0.0,PASS
Fiscal Year Summary,2025,total_proposals,476.0,476.0,0.0,PASS
Fiscal Year Summary,2025,total_requested_funding,282143000.0,282143000.0,0.0,PASS
Fiscal Year Summary,2025,total_awarded_funding,86934347.69,86934347.69,0.0,PASS
Fiscal Year Summary,2025,awarded_proposals,198.0,198.0,0.0,PASS
Fiscal Year Summary,2025,decided_proposals,407.0,407.0,0.0,PASS
Fiscal Year Summary,2025,pending_proposals,46.0,46.0,0.0,PASS
Fiscal Year Summary,2025,average_decision_time_days,160.27,160.27,0.0,PASS
Fiscal Year Summary,2025,active_principal_investigators,165.0,165.0,0.0,PASS
Fiscal Year Summary,2025,proposal_success_rate,48.65,48.65,0.0,PASS
Fiscal Year Summary,2025,average_award_amount,439062.36,439062.36,0.0,PASS
Fiscal Year Summary,2026,total_proposals,90.0,90.0,0.0,PASS
Fiscal Year Summary,2026,total_requested_funding,54872000.0,54872000.0,0.0,PASS
Fiscal Year Summary,2026,total_awarded_funding,17661628.26,17661628.26,0.0,PASS
Fiscal Year Summary,2026,awarded_proposals,37.0,37.0,0.0,PASS
Fiscal Year Summary,2026,decided_proposals,70.0,70.0,0.0,PASS
Fiscal Year Summary,2026,pending_proposals,16.0,16.0,0.0,PASS
Fiscal Year Summary,2026,average_decision_time_days,154.51,154.51,0.0,PASS
Fiscal Year Summary,2026,active_principal_investigators,68.0,68.0,0.0,PASS
Fiscal Year Summary,2026,proposal_success_rate,52.86,52.86,0.0,PASS
Fiscal Year Summary,2026,average_award_amount,477341.3,477341.3,0.0,PASS
College Summary,College of Agriculture,total_proposals,288.0,288.0,0.0,PASS
College Summary,College of Agriculture,total_requested_funding,171541000.0,171541000.0,0.0,PASS
College Summary,College of Agriculture,total_awarded_funding,48692013.54,48692013.54,0.0,PASS
College Summary,College of Agriculture,awarded_proposals,113.0,113.0,0.0,PASS
College Summary,College of Agriculture,decided_proposals,240.0,240.0,0.0,PASS
College Summary,College of Agriculture,pending_proposals,29.0,29.0,0.0,PASS
College Summary,College of Agriculture,average_decision_time_days,165.34,165.34,0.0,PASS
College Summary,College of Agriculture,active_principal_investigators,23.0,23.0,0.0,PASS
College Summary,College of Agriculture,proposal_success_rate,47.08,47.08,0.0,PASS
College Summary,College of Agriculture,average_award_amount,430902.77,430902.77,0.0,PASS
College Summary,College of Arts and Sciences,total_proposals,429.0,429.0,0.0,PASS
